Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
New Mexico,2019,17,04/27/2019,376,318,,69,14,10,,26,,10,,72,23,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2019,18,05/04/2019,358,316,,59,16,12,10,26,,,,74,18,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,19,05/11/2019,342,293,,64,21,,,15,,,,75,18,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,20,05/18/2019,341,299,,65,,13,,21,,,0,86,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Mexico,2019,21,05/25/2019,346,304,,74,,11,,21,,,,74,21,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,22,06/01/2019,348,297,,55,15,,,17,,,,91,12,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,23,06/08/2019,358,299,,61,10,10,,28,,,,75,15,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,24,06/15/2019,357,309,,79,10,15,,15,,,,73,23,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,25,06/22/2019,335,281,,74,,10,,16,,,,70,16,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,26,06/29/2019,340,295,,60,11,,,13,,,,81,22,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,27,07/06/2019,363,313,,52,14,,,20,,,,93,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,28,07/13/2019,377,310,,69,16,14,,12,,,0,76,12,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2019,29,07/20/2019,343,285,,65,12,12,,17,,,,74,21,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,30,07/27/2019,311,259,,50,10,10,,12,,,,81,,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2019,31,08/03/2019,340,302,,60,13,,,13,,,,79,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,32,08/10/2019,320,270,,58,13,15,,12,,,,63,12,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,33,08/17/2019,335,294,,61,12,,,17,,,,83,11,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,34,08/24/2019,342,283,,64,17,,,18,,,,66,20,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,35,08/31/2019,349,308,,76,12,11,,13,,,,83,16,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,36,09/07/2019,390,326,,76,13,14,,12,,,,93,13,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,37,09/14/2019,331,277,,68,13,10,,25,,,,51,,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2019,38,09/21/2019,367,308,,60,15,,,21,,,,83,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2019,39,09/28/2019,343,296,,76,15,,,20,,,,66,10,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,40,10/05/2019,376,326,,73,12,,,20,,,,86,13,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,41,10/12/2019,356,312,,62,13,,,18,,,,81,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,42,10/19/2019,328,279,,58,,,10,23,,,0,66,21,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2019,43,10/26/2019,343,309,,59,14,14,,22,,,,69,17,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,44,11/02/2019,355,310,,76,,12,,14,,,,78,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,45,11/09/2019,352,306,,68,,13,,12,,,,75,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,46,11/16/2019,339,299,,60,12,13,,16,,11,0,72,,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
New Mexico,2019,47,11/23/2019,352,311,,70,16,,,23,,,,70,20,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,48,11/30/2019,404,347,,65,10,,,16,,13,,99,18,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2019,49,12/07/2019,361,320,,74,,14,,24,,,,76,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,50,12/14/2019,375,318,,76,13,10,,22,,,,80,11,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,51,12/21/2019,365,317,,78,,,,28,,10,,73,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2019,52,12/28/2019,377,327,,63,,14,,22,,12,,82,20,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,1,01/04/2020,396,349,,61,14,14,16,17,,,,98,25,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,2,01/11/2020,402,359,,66,16,10,14,44,,,,84,13,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,3,01/18/2020,380,333,,60,14,12,10,26,,,,86,,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2020,4,01/25/2020,390,359,,75,,11,15,23,,,,87,18,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,5,02/01/2020,360,319,,59,11,,12,20,12,,,72,21,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,6,02/08/2020,360,311,,77,15,,,25,,,,66,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,7,02/15/2020,374,337,,74,17,11,16,20,10,,12,69,15,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
New Mexico,2020,8,02/22/2020,372,328,,66,13,10,,25,,,,85,20,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,9,02/29/2020,389,357,,61,,17,,30,,11,14,98,18,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
New Mexico,2020,10,03/07/2020,379,347,,59,17,14,10,20,,10,21,81,22,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
New Mexico,2020,11,03/14/2020,326,289,,54,12,13,,18,,,13,72,11,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,12,03/21/2020,363,337,,59,12,10,12,21,,,19,76,13,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,13,03/28/2020,340,314,,58,17,14,,26,,,24,76,11,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Mexico,2020,14,04/04/2020,368,347,,63,14,12,,28,11,,18,74,13,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Mexico,2020,15,04/11/2020,359,342,,61,,20,,26,,,21,71,16,20,14,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,16,04/18/2020,356,340,,66,12,17,,20,,,26,63,18,28,23,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,17,04/25/2020,290,278,,56,14,,,15,,,23,37,14,28,24,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,18,05/02/2020,187,181,,35,,,,,,,13,42,,12,11,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Mexico,2020,19,05/09/2020,71,71,0,11,,,0,,,0,,13,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
New York,2019,1,01/05/2019,2064,1945,24,388,56,49,60,118,34,41,29,574,86,0,0,,,,,,,,,,,,,,,
New York,2019,2,01/12/2019,2051,1927,26,409,51,43,59,98,41,38,33,537,87,0,0,,,,,,,,,,,,,,,
New York,2019,3,01/19/2019,2065,1961,21,418,49,50,65,108,42,50,28,565,79,0,0,,,,,,,,,,,,,,,
New York,2019,4,01/26/2019,2163,2044,25,426,65,57,62,127,49,30,47,563,109,0,0,,,,,,,,,,,,,,,
New York,2019,5,02/02/2019,2027,1908,26,379,57,60,64,111,48,48,30,529,81,0,0,,,,,,,,,,,,,,,
New York,2019,6,02/09/2019,2049,1908,32,411,44,45,57,101,38,44,32,528,82,0,0,,,,,,,,,,,,,,,
New York,2019,7,02/16/2019,2017,1902,30,416,53,52,63,106,32,40,34,542,78,0,0,,,,,,,,,,,,,,,
New York,2019,8,02/23/2019,2069,1950,30,407,50,39,64,111,45,38,31,546,85,0,0,,,,,,,,,,,,,,,
New York,2019,9,03/02/2019,2022,1904,26,414,50,59,76,117,51,25,35,523,74,0,0,,,,,,,,,,,,,,,
New York,2019,10,03/09/2019,2186,2056,25,430,60,53,76,107,49,54,43,552,104,0,0,,,,,,,,,,,,,,,
New York,2019,11,03/16/2019,2028,1912,25,402,49,57,72,135,37,48,33,551,80,0,0,,,,,,,,,,,,,,,
New York,2019,12,03/23/2019,2023,1897,30,388,59,40,72,123,48,34,34,531,85,0,0,,,,,,,,,,,,,,,
New York,2019,13,03/30/2019,2013,1896,31,398,63,46,53,111,51,37,35,516,91,0,0,,,,,,,,,,,,,,,
New York,2019,14,04/06/2019,2010,1891,23,409,59,49,66,103,30,35,47,501,88,0,0,,,,,,,,,,,,,,,
New York,2019,15,04/13/2019,1952,1839,31,400,57,38,69,107,40,36,47,513,63,0,0,,,,,,,,,,,,,,,
New York,2019,16,04/20/2019,1926,1815,24,402,61,37,41,112,44,34,35,489,81,0,0,,,,,,,,,,,,,,,
New York,2019,17,04/27/2019,1852,1751,23,417,45,45,57,110,37,37,30,451,77,0,0,,,,,,,,,,,,,,,
New York,2019,18,05/04/2019,1957,1855,15,432,49,52,58,116,38,42,32,518,76,0,0,,,,,,,,,,,,,,,
New York,2019,19,05/11/2019,1814,1697,27,381,60,44,46,105,35,32,21,430,93,0,0,,,,,,,,,,,,,,,
New York,2019,20,05/18/2019,1884,1761,25,407,50,34,44,126,34,40,32,487,78,0,0,,,,,,,,,,,,,,,
New York,2019,21,05/25/2019,1938,1800,23,397,50,44,44,105,34,39,35,499,90,0,0,,,,,,,,,,,,,,,
New York,2019,22,06/01/2019,1737,1606,13,407,38,47,46,82,39,40,34,430,63,0,0,,,,,,,,,,,,,,,
New York,2019,23,06/08/2019,1791,1675,22,392,34,47,40,100,33,40,32,484,80,0,0,,,,,,,,,,,,,,,
New York,2019,24,06/15/2019,1865,1749,21,407,51,44,42,103,41,43,29,485,72,0,0,,,,,,,,,,,,,,,
New York,2019,25,06/22/2019,1791,1675,16,409,60,49,44,85,45,30,25,470,59,0,0,,,,,,,,,,,,,,,
New York,2019,26,06/29/2019,1904,1777,14,403,59,54,35,105,32,38,39,499,75,0,0,,,,,,,,,,,,,,,
New York,2019,27,07/06/2019,1865,1700,23,404,56,46,34,103,31,35,34,433,88,0,0,,,,,,,,,,,,,,,
New York,2019,28,07/13/2019,1756,1610,19,381,44,42,33,96,32,34,41,433,68,0,0,,,,,,,,,,,,,,,
New York,2019,29,07/20/2019,1892,1752,27,425,55,41,43,96,30,36,42,462,68,0,0,,,,,,,,,,,,,,,
New York,2019,30,07/27/2019,1757,1635,21,398,52,38,41,83,30,27,34,462,69,0,0,,,,,,,,,,,,,,,
New York,2019,31,08/03/2019,1824,1709,26,400,33,39,47,83,40,35,39,485,81,0,0,,,,,,,,,,,,,,,
New York,2019,32,08/10/2019,1894,1752,18,445,36,48,42,89,29,37,36,487,83,0,0,,,,,,,,,,,,,,,
New York,2019,33,08/17/2019,1838,1705,27,430,49,46,27,88,42,38,26,448,84,0,0,,,,,,,,,,,,,,,
New York,2019,34,08/24/2019,1718,1582,22,382,34,43,41,77,28,26,35,417,76,0,0,,,,,,,,,,,,,,,
New York,2019,35,08/31/2019,1785,1645,24,392,45,50,40,75,36,49,39,453,68,0,0,,,,,,,,,,,,,,,
New York,2019,36,09/07/2019,1845,1717,24,408,46,51,51,93,29,36,40,442,69,0,0,,,,,,,,,,,,,,,
New York,2019,37,09/14/2019,1743,1629,17,383,49,46,32,75,35,43,34,438,84,0,0,,,,,,,,,,,,,,,
New York,2019,38,09/21/2019,1782,1663,17,397,36,41,37,83,43,43,42,422,76,0,0,,,,,,,,,,,,,,,
New York,2019,39,09/28/2019,1877,1744,22,417,46,62,34,91,37,26,36,469,73,0,0,,,,,,,,,,,,,,,
New York,2019,40,10/05/2019,1872,1741,25,412,39,42,38,88,45,27,48,495,70,0,0,,,,,,,,,,,,,,,
New York,2019,41,10/12/2019,1901,1782,23,396,44,56,36,86,36,33,62,490,72,0,0,,,,,,,,,,,,,,,
New York,2019,42,10/19/2019,1939,1827,26,419,48,47,54,87,32,26,54,514,85,0,0,,,,,,,,,,,,,,,
New York,2019,43,10/26/2019,1850,1746,17,404,42,48,51,82,47,34,53,462,72,0,0,,,,,,,,,,,,,,,
New York,2019,44,11/02/2019,1945,1819,32,420,48,53,48,84,41,32,67,484,77,0,0,,,,,,,,,,,,,,,
New York,2019,45,11/09/2019,1947,1828,17,443,65,53,39,96,27,56,64,463,84,0,0,,,,,,,,,,,,,,,
New York,2019,46,11/16/2019,1982,1888,24,416,59,62,39,81,45,50,51,481,86,0,0,,,,,,,,,,,,,,,
New York,2019,47,11/23/2019,1974,1869,31,420,58,59,43,103,39,32,59,497,88,0,0,,,,,,,,,,,,,,,
New York,2019,48,11/30/2019,1963,1852,31,413,45,50,48,107,34,38,78,494,79,0,0,,,,,,,,,,,,,,,
New York,2019,49,12/07/2019,2036,1909,21,430,53,56,47,106,27,46,53,526,92,0,0,,,,,,,,,,,,,,,
New York,2019,50,12/14/2019,1959,1863,25,416,43,54,45,80,52,48,69,492,89,0,0,,,,,,,,,,,,,,,
New York,2019,51,12/21/2019,1995,1881,27,371,55,56,57,106,39,30,79,499,88,0,0,,,,,,,,,,,,,,,
New York,2019,52,12/28/2019,2034,1938,31,422,59,49,60,120,27,32,85,512,91,0,0,,,,,,,,,,,,,,,
New York,2020,1,01/04/2020,2162,2052,22,414,59,75,84,127,51,29,83,534,79,0,0,,,,,,,,,,,,,,,
New York,2020,2,01/11/2020,2084,1991,23,410,59,60,63,135,48,43,73,521,81,0,0,,,,,,,,,,,,,,,
New York,2020,3,01/18/2020,2162,2049,24,421,48,63,64,123,44,45,63,569,92,0,0,,,,,,,,,,,,,,,
New York,2020,4,01/25/2020,2020,1914,31,415,59,38,59,96,55,51,93,483,77,0,0,,,,,,,,,,,,,,,
New York,2020,5,02/01/2020,2021,1929,27,397,58,45,52,113,49,38,75,495,89,0,0,,,,,,,,,,,,,,,
New York,2020,6,02/08/2020,2046,1950,29,410,52,49,61,106,51,37,82,532,77,0,0,,,,,,,,,,,,,,,
New York,2020,7,02/15/2020,1973,1858,17,385,53,50,60,99,43,46,87,521,70,0,0,,,,,,,,,,,,,,,
New York,2020,8,02/22/2020,2008,1931,23,428,54,55,69,124,42,38,81,461,82,0,0,,,,,,,,,,,,,,,
New York,2020,9,02/29/2020,2101,2003,29,432,47,54,63,102,43,43,99,537,61,0,0,,,,,,,,,,,,,,,
New York,2020,10,03/07/2020,1995,1899,34,362,57,57,70,102,32,40,107,473,90,0,0,,,,,,,,,,,,,,,
New York,2020,11,03/14/2020,1884,1803,13,372,35,50,65,112,41,36,89,427,74,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New York,2020,12,03/21/2020,2014,1929,29,381,48,59,76,97,50,44,119,439,85,40,38,,,,,,,,,,,,,,,
New York,2020,13,03/28/2020,2405,2312,36,390,64,73,95,137,56,38,111,512,75,251,241,,,,,,,,,,,,,,,
New York,2020,14,04/04/2020,3535,3461,32,428,88,81,159,130,45,50,147,717,88,920,883,,,,,,,,,,,,,,,
New York,2020,15,04/11/2020,4429,4359,23,416,91,61,158,124,36,46,133,840,93,1756,1660,,,,,,,,,,,,,,,
New York,2020,16,04/18/2020,4145,4070,22,355,77,65,131,122,44,35,122,744,82,1702,1615,,,,,,,,,,,,,,,
New York,2020,17,04/25/2020,3275,3210,20,368,74,58,81,91,38,47,122,551,76,1199,1132,,,,,,,,,,,,,,,
New York,2020,18,05/02/2020,2315,2277,16,348,56,50,52,78,18,29,108,459,71,592,543,,,,,,,,,,,,,,,
New York,2020,19,05/09/2020,1310,1291,10,191,34,36,21,44,23,21,71,315,42,191,191,,,,,,,,,,,,,,,
New York,2020,20,05/16/2020,69,69,0,,0,,,,,,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
New York City,2019,1,01/05/2019,1170,1091,10,258,50,24,39,50,11,15,11,379,30,0,0,,,,,,,,,,,,,,,
New York City,2019,2,01/12/2019,1106,1043,10,240,26,27,51,33,,11,11,381,36,0,0,,,,,,,,,Suppressed (counts 1-9),,,,,,
New York City,2019,3,01/19/2019,1158,1079,,251,43,21,35,41,11,15,,395,36,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
New York City,2019,4,01/26/2019,1157,1093,10,243,36,21,40,39,16,11,10,405,35,0,0,,,,,,,,,,,,,,,
New York City,2019,5,02/02/2019,1116,1056,11,232,35,22,42,47,18,,11,384,40,0,0,,,,,,,,,,Suppressed (counts 1-9),,,,,
New York City,2019,6,02/09/2019,1225,1141,11,251,44,30,46,50,,11,13,412,43,0,0,,,,,,,,,Suppressed (counts 1-9),,,,,,
New York City,2019,7,02/16/2019,1104,1047,,237,41,29,43,40,,12,12,377,42,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
New York City,2019,8,02/23/2019,1073,1007,16,224,41,21,43,53,14,,,355,32,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New York City,2019,9,03/02/2019,1087,1017,,227,38,23,47,41,,11,,386,35,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New York City,2019,10,03/09/2019,1102,1034,11,239,39,22,50,46,12,12,,350,32,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
New York City,2019,11,03/16/2019,1090,1016,11,233,36,27,39,42,12,,,360,39,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New York City,2019,12,03/23/2019,1036,979,,225,45,16,26,45,14,,10,374,41,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
New York City,2019,13,03/30/2019,1097,1053,11,245,44,24,38,38,,10,17,362,39,0,0,,,,,,,,,Suppressed (counts 1-9),,,,,,
New York City,2019,14,04/06/2019,1038,982,,246,44,17,39,29,10,13,10,362,31,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
New York City,2019,15,04/13/2019,1054,992,,255,41,17,26,35,,,16,348,38,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New York City,2019,16,04/20/2019,955,875,,218,34,31,19,34,10,,,315,33,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New York City,2019,17,04/27/2019,954,900,,238,42,20,31,27,11,,11,310,32,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
New York City,2019,18,05/04/2019,1008,952,,241,37,19,32,39,,13,,323,34,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New York City,2019,19,05/11/2019,1033,959,,247,41,16,30,31,12,12,10,322,23,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
New York City,2019,20,05/18/2019,1049,983,,244,32,23,27,30,,12,13,350,32,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
New York City,2019,21,05/25/2019,1049,975,,261,26,16,26,38,11,,14,343,37,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
New York City,2019,22,06/01/2019,888,819,,216,27,21,20,32,13,12,,289,36,0,0,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
New York City,2019,23,06/08/2019,1040,959,,231,37,23,27,38,11,,13,341,38,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
New York City,2019,24,06/15/2019,976,923,12,252,36,14,24,30,10,,,305,32,0,0,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New York City,2019,25,06/22/2019,1007,937,,275,31,19,29,35,12,11,13,286,33,0,0,,,Suppressed (counts 1-9),,,,,,,,,,,,
New York City,2019,26,06/29/2019,987,909,,239,25,24,23,31,13,,13,327,33,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
New York City,2019,27,07/06/2019,979,910,,229,41,20,22,32,11,,16,329,25,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
New York City,2019,28,07/13/2019,960,870,,222,33,24,21,36,,10,,290,34,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
